,Policy High rise Program switch,increase in FAR,FAR implementation year,Accelerated city growth program switch,effect of green recov,Green reconv policy start,Policy reconversion of Slums Switch,effect of reconversion rate on Policy,Slum reconv polict start year,Austerity Policy Program Switch,effect on non resi reconv of policy,reconv policy start year,Austerity effect on inflation,Auterity implementation year,Housing Finance Policy Program Switch,Housing finance effect on household spendings,Housing Finane Policy start year,Policy Relocation program Switch,effect on relocation rate,additional relocation housing factor,Relocation policy start year,Housing Affordability Rating,People with No Settlements,Illegal Slum Population,Urban Non Residential Area,Green Area
10,0.9610080676805336,3.615354928826545,2034.9210005539892,0.9558760763567989,4.6720427301266145,2037.7696469885304,0.9473895493423823,1.6593742564317004,2036.6248017006467,0.8824417244172671,3.907433807671502,2037.9485473421455,1.202186323691643,2044.3333907464535,0.9063261382902931,4.902156426046087,2030.7678758893953,0.9108568810070282,4.404364465646058,1.0602491749826648,2042.9627838614458,11.248771667480469,14429915.0,600000.0,31.91646957397461,0.7764537930488586
11,0.9667916500797176,3.6197224592039023,2035.1074398740188,0.7911382889804971,3.682686247468511,2038.081365639983,0.9353237820085731,1.9035818153377824,2036.9719001252874,0.8681799457670735,3.8687586255272173,2037.4129016096092,3.086218632877153,2039.2465536275645,0.8562776530397576,4.384638139558469,2033.6226317277228,0.9102631723819199,4.6225894404262595,1.1178165502001425,2035.0438193291468,45.852622985839844,58530144.0,1385442.625,30.883344650268555,2.449592351913452
12,0.9604411467807604,1.5770480652677898,2040.7375423460742,0.9558451055231517,4.249590083102969,2045.467527477738,0.11991419103011619,1.7027272694944489,2038.0644870900364,0.8827412671583993,4.880047991848723,2036.4835986509588,1.1259451643071072,2046.062039086566,0.9499738071596211,4.916629636937255,2030.0562344096056,0.8048456054276866,2.4279562758613205,1.0589266428392932,2043.098492922559,10.936586380004883,13979317.0,600000.0,26.596118927001953,1.6801912784576416
13,0.9595426392935167,1.5770480652677898,2041.379474426647,0.9737883577762645,4.250686112775217,2047.1344050099533,0.11991419103011619,1.7037705510805745,2036.8930673935504,0.8827412671583993,3.9210205978294406,2036.4835986509588,1.1259451643071072,2044.3738445469087,0.9499738071596211,4.916629636937255,2030.0562344096056,0.8048456054276866,2.4279562758613205,1.1176850525496258,2043.157927374857,10.936586380004883,13974320.0,600000.0,26.20633316040039,1.9305423498153687
14,0.8862344203138645,1.5770480652677898,2041.1292611025126,0.9737091237933702,3.665416575816011,2047.1716691504323,0.12143145554110898,1.7027272694944489,2045.39961674522,0.8756366552523835,4.8441753267905785,2036.4835986509588,1.1259451643071072,2045.455649957827,0.9499738071596211,4.846534209589401,2030.0562344096056,0.8048456054276866,2.4279562758613205,1.116864938916961,2043.157927374857,11.065523147583008,13976511.0,600000.0,25.724292755126953,2.0193560123443604
15,0.960293975806201,3.6186309278154307,2035.3221278474457,0.9410093100447147,4.251723270752776,2038.72694000717,0.9438972371615714,3.563636426966173,2036.3708394364633,0.8899618885091378,3.920209403806356,2044.7297328260483,3.0674662574234217,2040.3386199575596,0.8330429349511406,4.96430732446473,2042.638186186683,0.9031181630682529,4.911360594440144,3.3452948980030115,2035.0777583365652,45.852622985839844,59786996.0,1760016.625,38.03157043457031,1.0824449062347412
16,0.9478387482284949,4.551814744499615,2035.8345319034338,0.9743566875601876,4.952110072740401,2043.866293641528,0.8922427254250584,1.6854972704197226,2036.7475552867932,0.8181631386032051,3.87759003886486,2044.7813477028253,1.008682331182247,2044.2835331133176,0.9024948692672117,4.948966865954861,2031.7534944585902,0.9678339629461467,2.5441152816979775,1.16814473455968,2042.7856841817884,11.61234188079834,15017800.0,600000.0,30.83352279663086,1.3170560598373413
17,0.9602481170673509,3.6186309278154307,2035.3221278474457,0.7917960177336786,4.0162181927387195,2038.557665663153,0.9439133136484462,3.2367269251466446,2044.1670757977045,0.890060160849037,3.9202092967177413,2044.7440004251544,1.0033238022256397,2039.8506531511548,0.8330429349511406,4.902156426046087,2041.3239982604523,0.9181743307548149,4.927959641891193,3.345275804448695,2035.0777583365652,45.852622985839844,58838540.0,600000.0,33.427433013916016,2.763514280319214
18,0.921885446231045,3.618620811405861,2034.9753782538853,0.9345836215450828,4.252012568014218,2047.2249912809013,0.9411201762262008,3.216677001857568,2045.0203773857306,0.8901559750073544,3.9178877478891225,2041.0338447223403,1.0032420873133647,2043.6332771770908,0.7471340748796982,4.945852022377178,2030.06479603965,0.91823408642046,4.404917195396265,1.333168101421301,2033.008499635305,45.852622985839844,58263832.0,2158577.25,31.34042739868164,1.9440559148788452
19,0.9610078899244484,4.561873275943063,2034.9210005539892,0.9743202986705567,4.9279485069507,2045.4096881478986,0.9407337507636043,1.6593742564317004,2036.6198390700667,0.8899602361735987,4.98799552738698,2037.734096975534,1.2359400693039504,2044.4903790571998,0.9511626881354014,4.954171781298619,2041.132703234481,0.9039342173326038,4.4400970741112245,1.0633396817433485,2043.0317360558677,24.369070053100586,51702840.0,2407544.25,30.67939567565918,1.544374704360962
20,0.9679043623805609,3.6138597487157567,2035.564486548253,0.978725637768886,4.2443009307470625,2038.4301644790164,0.93536112884562,3.035934867360504,2036.8707830013307,0.8721323850232843,3.8668807833329972,2044.8738507380988,3.0091550958611464,2043.6151980121147,0.9009718100570948,4.394697167834171,2031.3721472134857,0.9102631723819199,4.928739729368124,1.1178165502001425,2042.506974460155,12.53162956237793,14967513.0,600000.0,32.81698989868164,0.9381400942802429
21,0.8950809617362943,1.5770480652677898,2041.2584040102442,0.9545040499442132,4.249590083102969,2037.41640273535,0.11991419103011619,1.6947133139230792,2036.7227369350146,0.8681847815437348,4.850814118095411,2036.4835986509588,1.0135320336040232,2045.455649957827,0.9504890895628393,4.998126758194523,2030.0562344096056,0.8048456054276866,2.4279562758613205,1.059589622730108,2043.1205826486762,10.791234016418457,13968549.0,600000.0,26.136085510253906,0.8544501662254333
22,0.9478387482284949,4.551814744499615,2036.3156586825112,0.9743566875601876,4.483880389545457,2043.866293641528,0.8922427254250584,1.6854972704197226,2036.7475552867932,0.8181631386032051,3.87759003886486,2044.6960472712005,1.008682331182247,2044.2835331133176,0.9024948692672117,4.948966865954861,2030.0421190647776,0.9678339629461467,2.4315282563784746,1.169021788520428,2042.7856841817884,10.872329711914062,13958490.0,600000.0,30.621761322021484,1.4175310134887695
23,0.9610078899244484,3.710855747268647,2034.9210005539892,0.9559150928754021,4.236414673403326,2045.3481614818447,0.935210062082209,1.7007337221017975,2036.5286798065858,0.8900586094089362,3.8702335876222675,2037.719303436199,3.0885677015073516,2044.335573115441,0.9339435601111022,4.864489519412649,2041.3663803042768,0.903167007823812,4.49301201950817,3.317247430227413,2033.0205503080138,24.850698471069336,52638968.0,600000.0,34.48031997680664,1.7927310466766357
24,0.960293975806201,3.6186309278154307,2035.3221278474457,0.9699848392146025,4.251723270752776,2038.72694000717,0.8905188584301036,3.563636426966173,2044.9768841909145,0.8187033677454212,3.8749208374395168,2044.741961361458,3.1849147499662767,2040.0931852625943,0.902821104559163,4.8796113381061135,2042.1399266028711,0.9194160335395223,4.9340462765964155,3.341582743252546,2035.0777583365652,26.47511863708496,53487344.0,1410936.875,35.845863342285156,1.0819145441055298
25,0.9478387482284949,4.603936433538323,2035.3567290493436,0.9743566875601876,4.952110072740401,2038.7592360554668,0.9456377243095383,1.6854972704197226,2036.7475552867932,0.8895199317066166,3.9227901061928487,2044.750503519165,1.0069975576600196,2044.1956465255057,0.9088981999936765,4.948966865954861,2032.327139496235,0.9678339629461467,2.5441152816979775,1.16814473455968,2042.7856841817884,11.901994705200195,15360433.0,600000.0,32.47583770751953,0.788838267326355
26,0.9478387482284949,4.551814744499615,2036.3156586825112,0.9743566875601876,4.483880389545457,2043.866293641528,0.8922427254250584,1.7654566474298328,2036.7302515997733,0.8181631386032051,3.872292087588948,2044.6960472712005,1.008682331182247,2044.2835331133176,0.9024948692672117,4.9742682722868485,2030.3766170893662,0.9678339629461467,2.4315282563784746,3.228440126394213,2042.7856841817884,10.958544731140137,13468658.0,600000.0,29.506454467773438,1.5048491954803467
27,0.9602481170673509,3.6186309278154307,2035.5130830976213,0.7926585071245777,4.0162181927387195,2038.557665663153,0.9439138573526922,3.2367269251466446,2044.9768841909145,0.890060160849037,3.9273205927119608,2045.550194425859,1.008554967082687,2040.2350949231914,0.8330454302566619,4.902156426046087,2041.3239982604523,0.9182471553507914,4.933898863157186,3.3485507414648263,2035.0777583365652,45.852622985839844,58732672.0,600000.0,32.502010345458984,2.7649152278900146
