,Policy High rise Program switch,increase in FAR,FAR implementation year,Accelerated city growth program switch,effect of green recov,Green reconv policy start,Policy reconversion of Slums Switch,effect of reconversion rate on Policy,Slum reconv polict start year,Austerity Policy Program Switch,effect on non resi reconv of policy,reconv policy start year,Austerity effect on inflation,Auterity implementation year,Housing Finance Policy Program Switch,Housing finance effect on household spendings,Housing Finane Policy start year,Policy Relocation program Switch,effect on relocation rate,additional relocation housing factor,Housing Affordability Rating,People with No Settlements,Illegal Slum Population,Urban Non Residential Area,Green Area
10,[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, False, True]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, False]",[True],"[False, False, True]","[True, True, False, False, False, True]","[False, False, False]","[False, False, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, True, False]","[False, True, False]",7.221309185028076,2812437.5,600000.0,86.86087036132812,4.765635967254639
11,[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, True, True]","[False, False, True, True, False, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[False],"[False, False, False]","[False, False, False, True, False, False]","[False, True, False]","[False, False, True, True, False, False]",[True],"[False, True, False]","[False, False, False, False, False, False]",[True],"[False, True, False]","[False, True, False]",7.585751533508301,2836763.75,600000.0,88.93721008300781,4.011438846588135
12,[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, False, True]","[False, False, True, True, False, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[False],"[False, False, False]","[False, False, False, False, True, False]","[False, False, False]","[False, True, True, False, True, False]",[True],"[False, True, False]","[False, False, False, False, False, True]",[True],"[False, True, False]","[False, True, False]",7.87174129486084,2866271.75,600000.0,88.26236724853516,4.6385111808776855
13,[True],"[False, True, False]","[False, False, False, False, False, False]",[True],"[False, True, False]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[True],"[False, False, False]","[False, True, False, False, True, True]","[False, True, False]","[False, True, True, False, True, False]",[True],"[False, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.585751533508301,2792724.5,600000.0,88.70891571044922,3.5751326084136963
14,[True],"[False, True, False]","[False, False, False, False, False, True]",[True],"[False, True, False]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[True],"[False, False, True]","[False, True, False, True, False, True]","[True, True, False]","[False, True, True, False, False, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, True, False]","[False, True, False]",7.420480728149414,2819122.75,600000.0,88.68739318847656,3.5751397609710693
15,[True],"[False, True, False]","[False, True, False, False, True, True]",[False],"[False, False, True]","[False, False, False, True, True, False]",[True],"[True, True, False]","[False, False, False, False, True, False]",[False],"[False, False, True]","[True, True, False, True, True, True]","[False, False, False]","[False, False, True, False, True, True]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[True, True, False]",7.221309185028076,2743709.75,600000.0,81.26876068115234,5.0
16,[True],"[False, True, False]","[False, False, False, False, True, False]",[False],"[False, False, True]","[False, False, False, True, True, False]",[True],"[True, True, False]","[False, False, False, False, True, False]",[False],"[False, False, True]","[False, True, True, False, True, True]","[False, False, False]","[False, False, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[True, True, False]",7.221309185028076,2767318.75,600000.0,84.96760559082031,5.0
17,[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, True, True]","[False, True, True, False, True, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[False],"[False, True, True]","[True, True, False, True, True, True]","[False, False, False]","[False, False, True, False, False, False]",[True],"[False, True, False]","[False, False, False, False, False, True]",[True],"[False, True, False]","[False, True, False]",7.87174129486084,2866088.5,600000.0,87.357666015625,5.0
18,[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, True, False]","[False, False, False, False, True, False]",[True],"[True, True, False]","[False, False, False, True, True, False]",[False],"[False, False, True]","[False, False, False, False, True, True]","[False, False, False]","[False, False, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.221309185028076,2768578.0,600000.0,88.4166030883789,3.0831987857818604
19,[True],"[True, True, False]","[False, False, False, False, True, False]",[False],"[False, True, False]","[False, False, False, False, True, False]",[True],"[True, True, False]","[False, False, False, True, True, False]",[False],"[False, False, True]","[False, True, True, False, True, True]","[False, False, False]","[False, False, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.221309185028076,2768737.0,600000.0,86.239013671875,5.0
20,[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[False, True, True]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, False, True, False]",[False],"[False, False, True]","[False, False, False, False, True, True]","[False, False, False]","[False, False, True, False, True, False]",[True],"[True, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.221309185028076,2768588.75,600000.0,86.12669372558594,4.11708927154541
21,[True],"[True, True, False]","[False, False, False, False, False, True]",[True],"[False, True, False]","[False, False, True, True, True, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[True],"[False, True, True]","[False, True, False, True, True, True]","[False, False, False]","[False, True, True, False, False, False]",[True],"[False, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.585751533508301,2792783.0,600000.0,89.39045715332031,3.60359263420105
22,[True],"[True, True, False]","[False, False, False, False, False, True]",[True],"[False, True, True]","[False, False, True, False, True, False]",[True],"[True, True, False]","[False, False, False, True, True, True]",[False],"[False, True, True]","[False, True, False, False, True, True]","[False, False, False]","[False, True, True, False, False, False]",[True],"[False, True, False]","[False, False, False, False, False, False]",[True],"[True, True, False]","[False, True, False]",7.585751533508301,2792861.25,600000.0,88.70238494873047,4.277058124542236
